n02268443	dragonfly	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: adult dragonfly, blue dragonfly, giant dragonfly, green dragonfly, large dragonfly, male dragonfly, red dragonfly, small dragonfly, winged dragonfly, young dragonfly	[lemma] in the *: 	*_NOUN [lemma]: adult dragonfly, darner dragonfly, emerald dragonfly, hawker dragonfly, skimmer dragonfly, zone dragonfly
n02268443	darning needle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big darning needle, common darning needle, fine darning needle, heavy darning needle, hot darning needle, large darning needle, long darning needle, ordinary darning needle, small darning needle, thick darning needle	[lemma] in the *: 	*_NOUN [lemma]: steel darning needle, stout darning needle
n02268443	devil  s darning needle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	sewing needle	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: clean sewing needle, coarse sewing needle, common sewing needle, fine sewing needle, large sewing needle, long sewing needle, ordinary sewing needle, round sewing needle, slender sewing needle, small sewing needle	[lemma] in the *: 	*_NOUN [lemma]: hand sewing needle, steel sewing needle
n02268443	snake feeder	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	snake doctor	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	mosquito hawk	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02268443	skeeter hawk	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n03977966	police van	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big police van, black police van, blue police van, closed police van, green police van, large police van, small police van, unmarked police van, white police van, yellow police van	[lemma] in the *: 	*_NOUN [lemma]: 
n03977966	police wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: black police wagon	[lemma] in the *: 	*_NOUN [lemma]: 
n03977966	paddy wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: black paddy wagon, drawn paddy wagon, same paddy wagon, white paddy wagon	[lemma] in the *: 	*_NOUN [lemma]: police paddy wagon
n03977966	patrol wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: drawn patrol wagon, first patrol wagon	[lemma] in the *: 	*_NOUN [lemma]: police patrol wagon
